draught
6.2
6.2
6.2
6.4
6.6
9.9
9.8
9.9
9.9
9.8
6.2
6.6
6
6.4
6.3
6.2
6.5
6.7
7
7.1
6.4
6.5
6.6
9.9
9.8
9.9
9.7
9.9
10
8.8
9.9
9.6
9.4
9.6
10
10.1
10.2
10.5
10.7
10.6
10.7
11
9.9
6.5
7
7.2
6.1
6.2
6.3
6.4
6.5
6.6
6.7
6.8
6.3
6.4
6.5
6.6
6.7
6.8
6.6
9.9
9.6
9.4
9.6
10
10.1
10.2
10.5
10.7
